,slide,nb_support,DICE(%),IOU(%),gt,score,nb_query
75,20114.svs,2689827,76.74,62.26,1,[0.99928848 0.99682452 0.98999618 0.95940436 0.89555865],2689827
76,20114.svs,2689827,81.01,68.08,1,[0.97717556 0.97051527 0.96233148 0.90846154 0.86371534],2685119
77,20114.svs,2689827,91.97,85.13,1,[0.99585933 0.9930216  0.98540222 0.9507099  0.90932447],2685074
78,20114.svs,2689827,86.18,75.71,1,[0.98541777 0.98085914 0.96191056 0.89519893 0.90587694],2685053
79,20114.svs,2689827,85.39,74.51,1,[0.98207181 0.97802808 0.95816465 0.88080516 0.87554961],2685032
80,20114.svs,2689827,86.66,76.46,1,[0.99483351 0.9877478  0.96799945 0.88828873 0.87867345],2685007
81,20114.svs,2689827,84.52,73.19,1,[0.98295514 0.97507428 0.95399167 0.86878739 0.89717694],2684980
82,20114.svs,2689827,85.2,74.21,1,[0.98046381 0.97367076 0.95813355 0.86136073 0.85700284],2684951
83,20114.svs,2689827,84.65,73.39,1,[0.9885676  0.98338905 0.96847165 0.90927774 0.85026165],2684930
84,20114.svs,2689827,80.28,67.05,1,[0.99002836 0.98304568 0.96541914 0.9039426  0.86698664],2684911
85,20114.svs,2689827,88.55,79.46,1,[0.99240707 0.98670848 0.96860823 0.89937674 0.90303388],2684888
86,20114.svs,2689827,82.07,69.6,1,[0.97626025 0.96876348 0.94939461 0.87005733 0.86653914],2684853
87,20114.svs,2689827,91.16,83.75,1,[0.97426158 0.97053296 0.95299234 0.87162995 0.85086707],2684832
88,20114.svs,2689827,90.73,83.04,1,[0.98894313 0.98073399 0.95989584 0.90670742 0.91220804],2684781
89,20114.svs,2689827,92.76,86.5,1,[0.99154138 0.98448819 0.96493057 0.92700662 0.8730382 ],2684761
90,20114.svs,2685053,65.17,48.34,0,[0.99130582 0.95352771 0.91477532 0.71907793 0.3466749 ],2721341
91,20114.svs,2685053,91.06,83.59,0,[0.99893557 0.9948074  0.97563818 0.84364927 0.82263128],2721292
92,20114.svs,2685053,89.58,81.13,0,[0.99923182 0.99390201 0.97174446 0.85772506 0.76867012],2721263
93,20114.svs,2685053,67.65,51.12,0,[0.99365667 0.98205135 0.91900111 0.63088515 0.33342429],2721242
94,20114.svs,2685053,61.77,44.69,0,[0.99293356 0.98086802 0.92541807 0.66194215 0.43068768],2721223
95,20114.svs,2685053,81.61,68.93,0,[0.99871954 0.98998278 0.95114676 0.75005788 0.49742431],2721202
96,20114.svs,2685053,71.14,55.21,0,[0.91914425 0.93515765 0.93228932 0.70726254 0.50742306],2721173
97,20114.svs,2685053,80.99,68.05,0,[0.99682876 0.9942331  0.95519885 0.71888656 0.66097035],2721154
98,20114.svs,2685053,71.77,55.97,0,[0.99616125 0.9933926  0.97605351 0.85119982 0.81675838],2721127
99,20114.svs,2685053,84.74,73.53,0,[0.99772428 0.98686091 0.93494552 0.76378154 0.60176191],2721074
100,20114.svs,2685053,86.41,76.07,0,[0.99416538 0.98367577 0.95872974 0.77379685 0.58447909],2721055
101,20114.svs,2685053,89.84,81.55,1,[0.99020967 0.98723009 0.97433957 0.89012239 0.89738388],2689939
102,20114.svs,2685053,84.79,73.59,1,[0.99960279 0.99592724 0.98003294 0.87945967 0.85507931],2689910
103,20114.svs,2685053,75.28,60.36,1,[0.9987579  0.99651923 0.96958263 0.84122728 0.82142054],2689869
104,20114.svs,2685053,86.61,76.39,1,[0.99731166 0.99407415 0.9678117  0.81024778 0.78795015],2689850
105,20114.svs,2685053,67.34,50.76,1,[0.99676174 0.99383784 0.95917643 0.76787519 0.69668854],2689827
106,20114.svs,2685053,81.83,69.25,1,[0.99690156 0.99229947 0.98155559 0.94356187 0.91849552],2685119
107,20114.svs,2685053,86.33,75.94,1,[0.99877014 0.99629804 0.96455693 0.80705485 0.81227725],2685074
108,20114.svs,2685053,89.08,80.3,1,[0.99973195 0.996835   0.98635311 0.97591227 0.97374604],2685053
109,20114.svs,2685053,88.57,79.49,1,[0.99899495 0.99515081 0.98512846 0.97279241 0.94228864],2685032
110,20114.svs,2685053,82.25,69.85,1,[0.99951253 0.9960539  0.98377262 0.91389508 0.89198381],2685007
111,20114.svs,2685053,85.85,75.21,1,[0.99877928 0.99344887 0.98426857 0.95746465 0.94281476],2684980
112,20114.svs,2685053,87.8,78.25,1,[0.99854082 0.99338202 0.97225092 0.87767707 0.86972883],2684951
113,20114.svs,2685053,84.09,72.55,1,[0.99941484 0.99643389 0.98091219 0.89101834 0.86674784],2684930
114,20114.svs,2685053,84.32,72.89,1,[0.99941461 0.99648054 0.98415017 0.94659566 0.93387816],2684911
115,20114.svs,2685053,87.64,78.0,1,[0.99983712 0.99672199 0.9847525  0.9583245  0.94640985],2684888
116,20114.svs,2685053,82.61,70.38,1,[0.99683157 0.9920076  0.97485199 0.90444791 0.89475952],2684853
117,20114.svs,2685053,92.38,85.84,1,[0.9954306  0.99292789 0.98212797 0.91410798 0.89580466],2684832
118,20114.svs,2685053,92.72,86.43,1,[0.99926454 0.99501994 0.97659145 0.92326413 0.93096592],2684781
119,20114.svs,2685053,89.87,81.6,1,[0.99964668 0.9935812  0.97654678 0.92613483 0.88961503],2684761
120,20114.svs,2689910,61.27,44.17,0,[0.99215046 0.95370629 0.92935495 0.84092639 0.53964383],2721341
121,20114.svs,2689910,90.2,82.14,0,[0.99878361 0.99418939 0.9810698  0.89521857 0.83779035],2721292
122,20114.svs,2689910,90.22,82.19,0,[0.99795389 0.99200424 0.97233578 0.87021162 0.70838252],2721263
123,20114.svs,2689910,65.96,49.21,0,[0.99682704 0.98449177 0.93109327 0.75679808 0.49229653],2721242
124,20114.svs,2689910,57.13,39.99,0,[0.99492063 0.98358423 0.93845895 0.75232919 0.55874793],2721223
125,20114.svs,2689910,78.13,64.11,0,[0.99832085 0.98821739 0.95958619 0.85699396 0.56845721],2721202
126,20114.svs,2689910,71.81,56.02,0,[0.94301313 0.94797135 0.94486741 0.82338047 0.6740881 ],2721173
127,20114.svs,2689910,80.53,67.4,0,[0.99640912 0.9944458  0.97149841 0.84335968 0.76666525],2721154
128,20114.svs,2689910,72.66,57.06,0,[0.99872805 0.99529573 0.98641719 0.92593657 0.88570352],2721127
129,20114.svs,2689910,84.09,72.55,0,[0.99924806 0.98925614 0.94970859 0.86933345 0.72424303],2721074
130,20114.svs,2689910,86.87,76.79,0,[0.99831347 0.98619778 0.97266465 0.90847227 0.76853082],2721055
131,20114.svs,2689910,90.38,82.44,1,[0.99664353 0.99266804 0.98186978 0.90601994 0.83428088],2689939
132,20114.svs,2689910,83.87,72.22,1,[0.99972247 0.99587661 0.98553623 0.97008918 0.95174499],2689910
133,20114.svs,2689910,67.22,50.62,1,[0.99758421 0.99566633 0.9811846  0.90431689 0.86559074],2689869
134,20114.svs,2689910,87.18,77.27,1,[0.9990256  0.99519411 0.98226878 0.91463898 0.88525883],2689850
135,20114.svs,2689910,62.2,45.14,1,[0.99349143 0.98964926 0.96614875 0.82832874 0.71590591],2689827
136,20114.svs,2689910,81.75,69.13,1,[0.99893796 0.99308371 0.98423855 0.93765245 0.88128702],2685119
137,20114.svs,2689910,81.68,69.03,1,[0.99732785 0.99397437 0.96959893 0.84932973 0.76948894],2685074
138,20114.svs,2689910,87.04,77.05,1,[0.99953396 0.99555375 0.98070558 0.90266813 0.8009547 ],2685053
139,20114.svs,2689910,88.5,79.38,1,[0.99956359 0.99482484 0.97900867 0.87814834 0.75823608],2685032
140,20114.svs,2689910,78.88,65.13,1,[0.99906823 0.99365075 0.98080734 0.91641583 0.87433737],2685007
141,20114.svs,2689910,83.48,71.65,1,[0.99917302 0.9946223  0.97862113 0.87072208 0.81097142],2684980
142,20114.svs,2689910,84.26,72.8,1,[0.99925537 0.99508498 0.97876042 0.92123835 0.91291293],2684951
143,20114.svs,2689910,89.68,81.29,1,[0.99960198 0.99651729 0.98440464 0.93687791 0.87657871],2684930
144,20114.svs,2689910,77.41,63.15,1,[0.99885476 0.99543566 0.98288134 0.9125361  0.80522977],2684911
145,20114.svs,2689910,80.79,67.77,1,[0.99976929 0.99569578 0.9808768  0.92430336 0.82664769],2684888
146,20114.svs,2689910,82.32,69.95,1,[0.99929024 0.99461465 0.9812868  0.91908529 0.87868309],2684853
147,20114.svs,2689910,89.58,81.12,1,[0.99847127 0.99605517 0.98672355 0.9296104  0.88241111],2684832
148,20114.svs,2689910,87.4,77.62,1,[0.99957193 0.99423663 0.97769929 0.88958338 0.80079302],2684781
149,20114.svs,2689910,89.84,81.56,1,[0.99910909 0.9897627  0.97133771 0.92853758 0.87293187],2684761
150,20114.svs,2685119,56.97,39.83,0,[0.99089251 0.94946932 0.91136588 0.72022611 0.26147066],2721341
151,20114.svs,2685119,85.94,75.34,0,[0.99879611 0.99376218 0.97592467 0.8457255  0.75999551],2721292
152,20114.svs,2685119,80.6,67.5,0,[0.99792743 0.98813362 0.95046699 0.76903963 0.53449788],2721263
153,20114.svs,2685119,60.63,43.5,0,[0.99523041 0.98083523 0.91117592 0.62127766 0.24670085],2721242
154,20114.svs,2685119,52.62,35.7,0,[0.99366127 0.97830992 0.91205828 0.64469383 0.32943766],2721223
155,20114.svs,2685119,68.72,52.35,0,[0.99744817 0.98469611 0.94298041 0.70971031 0.30490264],2721202
156,20114.svs,2685119,72.18,56.47,0,[0.94594494 0.94738544 0.930174   0.73409519 0.46318404],2721173
157,20114.svs,2685119,77.93,63.84,0,[0.99831628 0.994693   0.9643335  0.7667503  0.64819682],2721154
158,20114.svs,2685119,74.23,59.02,0,[0.99953332 0.99617642 0.98323177 0.88540593 0.82856828],2721127
159,20114.svs,2685119,77.76,63.62,0,[0.99786306 0.98266747 0.92043501 0.75939671 0.55950692],2721074
160,20114.svs,2685119,79.17,65.53,0,[0.99514591 0.98267075 0.95554043 0.80070014 0.54707008],2721055
161,20114.svs,2685119,90.42,82.51,1,[0.9976074  0.99437267 0.97766264 0.90567222 0.84364559],2689939
162,20114.svs,2685119,77.19,62.86,1,[0.99805551 0.99345505 0.97655687 0.8785038  0.78286963],2689910
163,20114.svs,2685119,57.45,40.3,1,[0.99919028 0.9968112  0.97319205 0.81704723 0.79569991],2689869
164,20114.svs,2685119,89.17,80.45,1,[0.99563876 0.99124124 0.967066   0.8136536  0.64946441],2689850
165,20114.svs,2685119,54.24,37.21,1,[0.99755509 0.99337643 0.96199512 0.72821117 0.53926531],2689827
166,20114.svs,2685119,83.9,72.26,1,[0.99987996 0.99728975 0.99346566 0.97980396 0.96889791],2685119
167,20114.svs,2685119,74.68,59.59,1,[0.9990453  0.99454345 0.95972827 0.75778199 0.63513083],2685074
168,20114.svs,2685119,79.69,66.23,1,[0.99937144 0.99633034 0.98061261 0.94540154 0.90920634],2685053
169,20114.svs,2685119,80.08,66.78,1,[0.99814294 0.9935844  0.97973835 0.92693345 0.80981781],2685032
170,20114.svs,2685119,72.6,56.99,1,[0.99928215 0.99458534 0.98460488 0.91269495 0.89631244],2685007
171,20114.svs,2685119,75.02,60.02,1,[0.99743897 0.99149783 0.97621118 0.91017049 0.84414637],2684980
172,20114.svs,2685119,77.38,63.1,1,[0.99549866 0.98886983 0.96108496 0.84305641 0.8312303 ],2684951
173,20114.svs,2685119,91.48,84.3,1,[0.99685077 0.99330292 0.96964079 0.85807792 0.73010634],2684930
174,20114.svs,2685119,68.1,51.63,1,[0.99945054 0.99677594 0.98559841 0.92832222 0.93986142],2684911
175,20114.svs,2685119,75.09,60.12,1,[0.99892674 0.99533656 0.9757101  0.9321685  0.90931474],2684888
176,20114.svs,2685119,72.66,57.06,1,[0.99563814 0.99343038 0.97788421 0.88232092 0.88201976],2684853
177,20114.svs,2685119,84.4,73.02,1,[0.99452344 0.99269876 0.9771655  0.90947292 0.83366485],2684832
178,20114.svs,2685119,78.39,64.47,1,[0.99956215 0.99646515 0.98006968 0.90024959 0.90260153],2684781
179,20114.svs,2685119,80.98,68.04,1,[0.99893472 0.99044295 0.96974741 0.90997774 0.88621494],2684761
180,20114.svs,2684980,61.37,44.27,0,[0.99534267 0.96615803 0.93013237 0.72953186 0.3336185 ],2721341
181,20114.svs,2684980,90.48,82.61,0,[0.99794192 0.9890734  0.97258904 0.84623385 0.81933266],2721292
182,20114.svs,2684980,89.92,81.69,0,[0.99814637 0.98872816 0.97259083 0.87488301 0.75988081],2721263
183,20114.svs,2684980,66.88,50.24,0,[0.99563893 0.98283322 0.92629641 0.6623837  0.33799104],2721242
184,20114.svs,2684980,58.13,40.98,0,[0.99524144 0.98635761 0.92905687 0.68716827 0.4304707 ],2721223
185,20114.svs,2684980,78.73,64.92,0,[0.99818281 0.9839572  0.95106467 0.75807493 0.45818749],2721202
186,20114.svs,2684980,71.66,55.84,0,[0.92969366 0.93851565 0.93715592 0.71474236 0.50787853],2721173
187,20114.svs,2684980,81.62,68.95,0,[0.99839896 0.99328808 0.95905434 0.71796265 0.64682105],2721154
188,20114.svs,2684980,72.63,57.03,0,[0.99718191 0.99144049 0.97729707 0.87390168 0.84452959],2721127
189,20114.svs,2684980,84.07,72.52,0,[0.99858154 0.98703926 0.93679192 0.78891566 0.63367654],2721074
190,20114.svs,2684980,86.21,75.76,0,[0.99666752 0.98958794 0.96563099 0.78962167 0.60475091],2721055
191,20114.svs,2684980,91.06,83.59,1,[0.99437472 0.98800696 0.97522809 0.90701642 0.93112067],2689939
192,20114.svs,2684980,81.29,68.48,1,[0.99848435 0.99206287 0.9732763  0.86212061 0.83353038],2689910
193,20114.svs,2684980,67.81,51.3,1,[0.99946453 0.9960631  0.97052015 0.82316818 0.79188006],2689869
194,20114.svs,2684980,87.89,78.4,1,[0.99787055 0.99330283 0.9704592  0.80913645 0.76343089],2689850
195,20114.svs,2684980,61.33,44.22,1,[0.996511   0.98675319 0.95393522 0.72900643 0.62035202],2689827
196,20114.svs,2684980,81.48,68.75,1,[0.99833906 0.98930545 0.97775797 0.94180622 0.92048576],2685119
197,20114.svs,2684980,80.69,67.63,1,[0.99845083 0.99132274 0.95916368 0.79536601 0.77679572],2685074
